epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1671,1.0232,3.69262,1.15335,0.09927,0.44084,0.11712,0.08844,0.81036,3.17114,1.01906,0.0001,0.0001,0.0001
2,25.9108,0.8858,2.34556,1.07713,0.20474,0.35501,0.23157,0.18422,0.69924,2.70647,0.99789,0.00020591,0.00020591,0.00020591
3,37.1978,0.85566,2.03143,1.06814,0.24949,0.51221,0.26929,0.20592,0.74215,4.76451,1.08596,0.000311469,0.000311469,0.000311469
4,48.2773,0.82512,1.77069,1.06285,0.35974,0.38638,0.35623,0.26456,0.78411,2.51875,1.12263,0.000416677,0.000416677,0.000416677
5,61.6449,0.86259,1.66127,1.07633,0.30471,0.41676,0.30351,0.2267,0.95406,2.99228,1.26122,0.000521535,0.000521535,0.000521535
6,74.1751,0.85638,1.58215,1.0765,0.32615,0.52074,0.39281,0.30565,0.84631,1.92889,1.18617,0.000619844,0.000619844,0.000619844
7,86.8426,0.82745,1.43494,1.07718,0.46476,0.5061,0.48539,0.36749,0.78826,1.80853,1.15957,0.000618813,0.000618813,0.000618813
8,99.4458,0.8816,1.45209,1.08861,0.41827,0.55983,0.48757,0.36862,0.79964,1.53255,1.10512,0.000617781,0.000617781,0.000617781
9,110.828,0.86553,1.3147,1.09142,0.46203,0.55733,0.50105,0.38387,0.85068,1.48398,1.19682,0.00061675,0.00061675,0.00061675
10,122.062,0.84217,1.28563,1.06709,0.50482,0.47664,0.53259,0.41684,0.82897,1.54959,1.15815,0.000615719,0.000615719,0.000615719
11,132.679,0.81201,1.23252,1.03154,0.5197,0.56715,0.56118,0.44242,0.77285,1.5714,1.13751,0.000614687,0.000614687,0.000614687
12,143.16,0.79985,1.14151,1.03549,0.60118,0.53776,0.57529,0.44632,0.79065,1.98277,1.14495,0.000613656,0.000613656,0.000613656
13,153.657,0.82792,1.13005,1.05104,0.60358,0.55125,0.58863,0.46505,0.7551,1.59714,1.0884,0.000612625,0.000612625,0.000612625
14,163.539,0.81912,1.08285,1.06337,0.56632,0.57409,0.61445,0.49116,0.72315,1.2491,1.08478,0.000611594,0.000611594,0.000611594
15,175.273,0.80792,1.05369,1.05645,0.56569,0.59443,0.6147,0.4869,0.75102,1.50951,1.11267,0.000610562,0.000610562,0.000610562
16,186.4,0.75793,0.96526,1.02819,0.62092,0.51157,0.57232,0.45377,0.80502,1.39192,1.12055,0.000609531,0.000609531,0.000609531
17,196.623,0.75803,0.97175,1.04079,0.58041,0.58835,0.61828,0.49786,0.72472,1.19418,1.07098,0.0006085,0.0006085,0.0006085
18,207.418,0.77327,0.92103,1.02268,0.61093,0.6068,0.66315,0.53041,0.76084,1.09191,1.08261,0.000607469,0.000607469,0.000607469
19,218.685,0.7598,0.90872,1.04531,0.63689,0.60907,0.66319,0.53831,0.7489,1.23102,1.11769,0.000606437,0.000606437,0.000606437
20,229.811,0.75686,0.87642,1.02929,0.7191,0.57877,0.70104,0.55674,0.71094,1.13588,1.05482,0.000605406,0.000605406,0.000605406
21,239.581,0.74051,0.87808,1.01077,0.71191,0.62484,0.72618,0.58575,0.70629,0.98679,1.05369,0.000604375,0.000604375,0.000604375
22,250.298,0.7573,0.88157,1.026,0.69386,0.58553,0.67663,0.53346,0.75232,1.18218,1.10824,0.000603344,0.000603344,0.000603344
23,260.724,0.73805,0.88525,0.9955,0.63179,0.62091,0.66766,0.53638,0.68898,1.12121,1.03899,0.000602312,0.000602312,0.000602312
24,271.205,0.71422,0.83499,0.99835,0.59871,0.65671,0.67097,0.54742,0.70055,1.15423,1.05962,0.000601281,0.000601281,0.000601281
25,282.623,0.72627,0.81846,1.00246,0.61728,0.58064,0.632,0.50806,0.73084,1.1407,1.10443,0.00060025,0.00060025,0.00060025
26,295.675,0.701,0.79319,0.99311,0.70587,0.60385,0.70633,0.55902,0.73983,1.05053,1.09787,0.000599219,0.000599219,0.000599219
27,310.579,0.72485,0.81874,0.99682,0.61854,0.67691,0.71811,0.5717,0.78169,1.00745,1.08131,0.000598187,0.000598187,0.000598187
28,322.187,0.6991,0.73666,0.99114,0.66195,0.69714,0.74212,0.5884,0.70994,0.91241,1.08638,0.000597156,0.000597156,0.000597156
29,333.491,0.68356,0.71713,0.97552,0.75471,0.63053,0.75397,0.59795,0.73019,0.8321,1.08874,0.000596125,0.000596125,0.000596125
30,344.7,0.68907,0.72928,0.99875,0.75614,0.66423,0.76375,0.62225,0.71587,0.80189,1.10184,0.000595094,0.000595094,0.000595094
31,355.159,0.70309,0.71657,0.99683,0.6511,0.65786,0.68617,0.55066,0.72421,0.92695,1.07461,0.000594062,0.000594062,0.000594062
32,366.417,0.72112,0.75613,1.00796,0.6814,0.62392,0.71481,0.57269,0.71327,0.97781,1.08959,0.000593031,0.000593031,0.000593031
33,377.169,0.67455,0.73713,0.997,0.73708,0.661,0.73915,0.60047,0.7002,0.84986,1.07983,0.000592,0.000592,0.000592
34,388.286,0.66591,0.71739,0.97908,0.61226,0.65935,0.67498,0.55472,0.7481,1.09022,1.1239,0.000590969,0.000590969,0.000590969
35,400.044,0.67469,0.7005,0.97537,0.82573,0.61512,0.76408,0.62306,0.70943,0.92102,1.11815,0.000589938,0.000589938,0.000589938
36,412.282,0.65724,0.67895,0.97759,0.67764,0.72138,0.74271,0.60519,0.68114,0.9354,1.07009,0.000588906,0.000588906,0.000588906
37,422.265,0.66209,0.67279,0.97724,0.74006,0.71529,0.78674,0.62927,0.69384,0.8642,1.08942,0.000587875,0.000587875,0.000587875
38,432.898,0.68477,0.66409,0.98146,0.69135,0.65034,0.73179,0.57563,0.75378,0.90421,1.08648,0.000586844,0.000586844,0.000586844
39,444.074,0.66452,0.68156,0.98236,0.7433,0.65803,0.74785,0.61283,0.67469,0.90255,1.05867,0.000585813,0.000585813,0.000585813
40,455.137,0.65913,0.68475,0.97279,0.70474,0.72164,0.75582,0.60869,0.66433,0.87867,1.04259,0.000584781,0.000584781,0.000584781
41,465.744,0.65804,0.67145,0.97271,0.70488,0.72686,0.74804,0.593,0.73344,0.95259,1.08881,0.00058375,0.00058375,0.00058375
42,476.728,0.65039,0.69121,0.97686,0.68758,0.67126,0.7394,0.60234,0.65333,0.94405,1.02049,0.000582719,0.000582719,0.000582719
43,488.045,0.62923,0.66165,0.96274,0.7521,0.75932,0.80756,0.6567,0.66724,0.70511,1.08363,0.000581687,0.000581687,0.000581687
44,499.832,0.65524,0.64324,0.99118,0.71432,0.7043,0.77375,0.62194,0.6894,0.86487,1.03539,0.000580656,0.000580656,0.000580656
45,510.57,0.66781,0.63355,0.97284,0.7589,0.67106,0.74869,0.61005,0.66712,0.83788,1.00142,0.000579625,0.000579625,0.000579625
46,521.618,0.65503,0.65467,0.97856,0.76818,0.7036,0.7891,0.63461,0.72791,0.80605,1.06143,0.000578594,0.000578594,0.000578594
47,533.077,0.67923,0.68076,1.00166,0.73859,0.64314,0.74187,0.60794,0.70514,0.99068,1.07314,0.000577563,0.000577563,0.000577563
48,548.137,0.64594,0.62632,0.97383,0.69243,0.68667,0.74045,0.61647,0.67571,0.96439,1.07566,0.000576531,0.000576531,0.000576531
49,558.952,0.6487,0.63433,0.96137,0.69186,0.65613,0.73172,0.60351,0.68508,0.92109,1.06563,0.0005755,0.0005755,0.0005755
50,570.033,0.63693,0.6237,0.96137,0.67935,0.73509,0.75925,0.63088,0.6929,0.78073,1.06246,0.000574469,0.000574469,0.000574469
51,581.222,0.61428,0.5813,0.96301,0.77044,0.6923,0.80006,0.65923,0.69136,0.72428,1.07897,0.000573438,0.000573438,0.000573438
52,592.216,0.6375,0.60899,0.96565,0.73402,0.72162,0.79778,0.64401,0.7198,0.78345,1.06889,0.000572406,0.000572406,0.000572406
53,602.607,0.60822,0.57551,0.96063,0.78807,0.69472,0.79667,0.6521,0.67288,0.83243,1.03129,0.000571375,0.000571375,0.000571375
54,613.794,0.61723,0.57873,0.97214,0.81373,0.68142,0.81038,0.67145,0.65119,0.7619,1.02522,0.000570344,0.000570344,0.000570344
55,625.249,0.62171,0.58178,0.95584,0.72032,0.72782,0.79065,0.65343,0.61454,0.86926,0.99048,0.000569313,0.000569313,0.000569313
56,636.628,0.60411,0.58184,0.96389,0.77025,0.68124,0.79937,0.65415,0.61641,0.80222,1.00799,0.000568281,0.000568281,0.000568281
57,647.609,0.61228,0.56142,0.9644,0.79372,0.64444,0.76216,0.62742,0.6803,0.95549,1.03612,0.00056725,0.00056725,0.00056725
58,659.065,0.61017,0.5643,0.95314,0.72082,0.68414,0.73014,0.60543,0.6699,0.99369,1.05136,0.000566219,0.000566219,0.000566219
59,670.003,0.59968,0.55115,0.94384,0.76363,0.68605,0.76156,0.63233,0.67631,0.83819,1.06383,0.000565188,0.000565188,0.000565188
60,680.659,0.60762,0.57136,0.96303,0.75607,0.65278,0.77255,0.63559,0.6535,0.81714,1.05252,0.000564156,0.000564156,0.000564156
