epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.10332,1.15629,4.23113,1.19131,0.09254,0.24686,0.0846,0.06768,0.81859,11.1582,1.02911,0.0001,0.0001,0.0001
2,15.6537,0.95508,2.61823,1.06624,0.16383,0.28966,0.15747,0.1192,0.76502,3.07169,0.9819,0.00020591,0.00020591,0.00020591
3,21.2733,0.91475,2.23208,1.05333,0.24897,0.36062,0.27643,0.2078,0.78625,2.75097,1.02862,0.000311469,0.000311469,0.000311469
4,26.4123,0.84905,1.98074,1.01179,0.22907,0.47695,0.26027,0.19559,0.77483,2.71809,1.02522,0.000416677,0.000416677,0.000416677
5,31.3736,0.89353,1.84511,1.03343,0.23795,0.55696,0.29951,0.21984,0.84232,2.31661,1.0564,0.000521535,0.000521535,0.000521535
6,36.2614,0.90208,1.7671,1.0521,0.2289,0.41083,0.26203,0.19252,0.82623,2.1216,1.05268,0.000619844,0.000619844,0.000619844
7,41.0679,0.87753,1.65907,1.04755,0.31346,0.489,0.35455,0.2669,0.80103,1.90846,1.05723,0.000618813,0.000618813,0.000618813
8,45.9743,0.90664,1.60437,1.04807,0.40132,0.49724,0.43686,0.32892,0.77287,1.72864,1.0424,0.000617781,0.000617781,0.000617781
9,50.8502,0.86752,1.455,1.03491,0.36329,0.51816,0.43438,0.33398,0.83323,1.79803,1.10583,0.00061675,0.00061675,0.00061675
10,55.7179,0.85734,1.38573,1.02571,0.43262,0.50303,0.4621,0.35376,0.82991,2.06872,1.09236,0.000615719,0.000615719,0.000615719
11,60.8059,0.83989,1.39261,0.99912,0.42031,0.51986,0.44541,0.34992,0.79297,2.19631,1.09268,0.000614687,0.000614687,0.000614687
12,65.7673,0.8124,1.25252,0.99222,0.54569,0.52703,0.56079,0.43834,0.71663,1.34008,1.01151,0.000613656,0.000613656,0.000613656
13,70.9563,0.83329,1.23616,1.02059,0.58404,0.51359,0.57288,0.44726,0.78198,1.45903,1.03546,0.000612625,0.000612625,0.000612625
14,76.5304,0.82701,1.17841,1.0109,0.51849,0.56325,0.57351,0.44297,0.73611,1.28154,1.01526,0.000611594,0.000611594,0.000611594
15,82.0661,0.80096,1.13425,1.00336,0.55907,0.60988,0.59375,0.46315,0.74656,1.46089,1.01894,0.000610562,0.000610562,0.000610562
16,87.5949,0.76817,1.08494,0.99566,0.56837,0.64198,0.65177,0.50329,0.76085,1.11741,1.05269,0.000609531,0.000609531,0.000609531
17,93.0455,0.77129,1.03602,1.00967,0.55981,0.65402,0.65944,0.51963,0.76098,1.11795,1.02604,0.0006085,0.0006085,0.0006085
18,98.6186,0.79209,1.03458,0.98858,0.56936,0.59412,0.60221,0.4796,0.75927,1.28282,1.03397,0.000607469,0.000607469,0.000607469
19,104.564,0.76136,1.03255,1.00963,0.62484,0.5664,0.62874,0.49926,0.72156,1.28487,1.02246,0.000606437,0.000606437,0.000606437
20,110.156,0.77037,0.98112,1.00796,0.56832,0.636,0.64959,0.51596,0.71441,1.14505,1.00919,0.000605406,0.000605406,0.000605406
21,116.08,0.7619,0.97581,0.98285,0.63924,0.55031,0.62279,0.49534,0.69889,1.35279,0.99248,0.000604375,0.000604375,0.000604375
22,121.842,0.7702,0.91972,0.99918,0.68549,0.55753,0.66456,0.5292,0.72777,1.07128,1.00559,0.000603344,0.000603344,0.000603344
23,127.73,0.75329,0.91097,0.96915,0.62338,0.62893,0.67701,0.53672,0.71132,1.08606,1.02469,0.000602312,0.000602312,0.000602312
24,132.717,0.73756,0.87321,0.98456,0.60447,0.61599,0.64293,0.50963,0.70522,1.20174,1.0041,0.000601281,0.000601281,0.000601281
25,137.594,0.73758,0.84096,0.97559,0.57954,0.64922,0.66061,0.52807,0.7381,1.12788,1.05013,0.00060025,0.00060025,0.00060025
26,142.618,0.72486,0.83103,0.95885,0.57991,0.63646,0.66623,0.52435,0.75712,1.198,1.03968,0.000599219,0.000599219,0.000599219
27,147.721,0.72748,0.83321,0.96181,0.61922,0.63387,0.68619,0.54691,0.72955,1.11358,1.01971,0.000598187,0.000598187,0.000598187
28,152.782,0.71138,0.77057,0.96681,0.67728,0.60573,0.68703,0.5433,0.77804,1.20004,1.05999,0.000597156,0.000597156,0.000597156
29,157.555,0.69856,0.75889,0.95819,0.64545,0.66555,0.69689,0.5536,0.75167,1.09832,1.07714,0.000596125,0.000596125,0.000596125
30,162.391,0.70914,0.7534,0.97856,0.68053,0.63701,0.699,0.55988,0.72718,1.23238,1.06091,0.000595094,0.000595094,0.000595094
31,167.376,0.7183,0.74697,0.97312,0.71602,0.58396,0.67533,0.53806,0.76775,1.32016,1.08437,0.000594062,0.000594062,0.000594062
32,172.223,0.70275,0.80298,0.96055,0.64553,0.59147,0.68085,0.54827,0.70396,1.00795,1.03808,0.000593031,0.000593031,0.000593031
33,176.971,0.68858,0.75861,0.96769,0.72205,0.64901,0.72352,0.57465,0.71123,0.90235,1.0336,0.000592,0.000592,0.000592
34,181.769,0.66751,0.74365,0.95486,0.64397,0.67578,0.69735,0.5647,0.69533,1.10333,1.03839,0.000590969,0.000590969,0.000590969
35,186.61,0.68522,0.72934,0.95384,0.66694,0.67426,0.72528,0.58974,0.72013,0.96456,1.0665,0.000589938,0.000589938,0.000589938
36,191.525,0.67866,0.74426,0.95888,0.71889,0.6098,0.70612,0.56886,0.75511,0.97186,1.07057,0.000588906,0.000588906,0.000588906
37,197.624,0.66919,0.73407,0.95546,0.73127,0.65416,0.73492,0.58489,0.75832,1.08749,1.07617,0.000587875,0.000587875,0.000587875
38,203.33,0.69093,0.695,0.95092,0.72377,0.65898,0.74334,0.59141,0.70934,0.88286,1.06113,0.000586844,0.000586844,0.000586844
39,209.198,0.66074,0.69724,0.94424,0.69364,0.68242,0.73714,0.5993,0.6929,0.97135,1.03624,0.000585813,0.000585813,0.000585813
40,215.058,0.68307,0.6968,0.94879,0.66971,0.66445,0.72327,0.56796,0.76737,0.97442,1.04611,0.000584781,0.000584781,0.000584781
41,220.508,0.67824,0.67304,0.94564,0.67945,0.66748,0.71503,0.56802,0.74444,1.01682,1.04277,0.00058375,0.00058375,0.00058375
42,226.413,0.65907,0.69346,0.94773,0.68549,0.68418,0.73001,0.59634,0.69422,1.15397,1.00172,0.000582719,0.000582719,0.000582719
43,232.898,0.63484,0.66388,0.9356,0.69668,0.67956,0.7134,0.58647,0.67276,1.01753,1.01061,0.000581687,0.000581687,0.000581687
44,241.969,0.6469,0.69296,0.954,0.65058,0.68829,0.73395,0.5988,0.75407,1.10975,1.05466,0.000580656,0.000580656,0.000580656
45,252.037,0.66749,0.70467,0.94361,0.70992,0.64112,0.7161,0.57677,0.69718,1.17216,1.01064,0.000579625,0.000579625,0.000579625
46,258.411,0.65396,0.68282,0.93957,0.68654,0.71977,0.76006,0.61366,0.69777,0.99372,0.99475,0.000578594,0.000578594,0.000578594
47,263.807,0.67934,0.7031,0.96231,0.72259,0.64657,0.73122,0.58651,0.72639,1.07499,0.99951,0.000577563,0.000577563,0.000577563
48,268.819,0.65267,0.69664,0.94622,0.60083,0.66474,0.67613,0.5422,0.75452,1.12422,1.01144,0.000576531,0.000576531,0.000576531
49,273.914,0.6603,0.67453,0.9356,0.62339,0.64643,0.68535,0.5607,0.71211,1.11748,1.02354,0.0005755,0.0005755,0.0005755
50,279.048,0.66608,0.67027,0.94476,0.72279,0.65223,0.74038,0.60568,0.71826,0.9496,1.051,0.000574469,0.000574469,0.000574469
51,284.049,0.63545,0.63075,0.93635,0.68957,0.70068,0.75563,0.6168,0.66409,0.9052,1.00547,0.000573438,0.000573438,0.000573438
52,289.255,0.66481,0.65895,0.94867,0.74212,0.69166,0.77605,0.61805,0.72419,0.88789,1.0069,0.000572406,0.000572406,0.000572406
53,294.522,0.63622,0.61758,0.94525,0.71092,0.64955,0.71872,0.57739,0.76301,1.0046,1.03269,0.000571375,0.000571375,0.000571375
